UserID, Technique, M_FACTOR, TRAVEL_PATH_LENGHT(2/4), PARAF_POSITION(0-5), HEAD, TAIL, PARAF_X, PARAF_Y, PARAF_Z, _TIME,  _R_HEAD_X, _R_HEAD_Y, _R_HEAD_Z, _V_HEAD_X, _V_HEAD_Y, _V_HEAD_Z, _CUR_M_FACTOR, _CUR_ANGLE_ERROR, _CUR_POS_ERROR
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,764.059,0.456,1.236,0.189,3.395,1.236,1.804,-1.000,0.477,57.585,
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,764.067,0.454,1.236,0.187,3.392,1.236,1.800,-1.000,0.473,54.691,
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,764.076,0.453,1.236,0.185,3.388,1.236,1.795,-1.000,0.468,52.091,
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,764.086,0.451,1.236,0.183,3.384,1.236,1.789,-1.000,0.463,49.159,
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,764.093,0.449,1.236,0.181,3.380,1.236,1.784,-1.000,0.458,46.558,
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,764.100,0.447,1.236,0.179,3.376,1.236,1.778,-1.000,0.452,44.096,
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,764.110,0.445,1.237,0.176,3.372,1.237,1.771,-1.000,0.446,41.653,
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,764.118,0.444,1.237,0.174,3.369,1.237,1.765,-1.000,0.441,39.701,
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,764.126,0.442,1.238,0.171,3.365,1.238,1.757,-1.000,0.435,37.779,
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,764.133,0.441,1.239,0.169,3.362,1.239,1.750,-1.000,0.430,36.045,
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,764.143,0.439,1.241,0.166,3.358,1.241,1.743,-1.000,0.424,34.445,
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,764.150,0.438,1.242,0.164,3.355,1.242,1.735,-1.000,0.419,32.877,
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,764.159,0.436,1.243,0.162,3.351,1.243,1.728,-1.000,0.414,31.318,
